"symbol","date","open","high","low","close","volume","adjusted"
"KLBN4",2012-01-02,1.598,1.62,1.55,1.55,23472000,1.075948
"KLBN4",2012-01-03,1.56,1.61,1.55,1.604,12431000,1.113433
"KLBN4",2012-01-04,1.606,1.614,1.578,1.594,17512500,1.10649
"KLBN4",2012-01-05,1.586,1.608,1.562,1.59,10139500,1.103714
"KLBN4",2012-01-06,1.61,1.61,1.584,1.586,5985000,1.100938
"KLBN4",2012-01-09,1.598,1.618,1.59,1.61,7970000,1.117597
"KLBN4",2012-01-10,1.62,1.632,1.6,1.618,7818500,1.12315
"KLBN4",2012-01-11,1.61,1.63,1.56,1.614,8894000,1.120374
"KLBN4",2012-01-12,1.626,1.636,1.594,1.632,7410000,1.132869
"KLBN4",2012-01-13,1.624,1.626,1.586,1.59,10073500,1.103714
"KLBN4",2012-01-16,1.59,1.59,1.59,1.59,0,1.103714
"KLBN4",2012-01-17,1.59,1.59,1.59,1.59,0,1.103714
"KLBN4",2012-01-18,1.608,1.626,1.586,1.6,20651500,1.110656
"KLBN4",2012-01-19,1.612,1.612,1.568,1.578,7305000,1.095384
"KLBN4",2012-01-20,1.576,1.616,1.562,1.616,10084500,1.121763
"KLBN4",2012-01-23,1.612,1.63,1.594,1.62,12283000,1.124539
"KLBN4",2012-01-24,1.602,1.628,1.582,1.612,9139000,1.118986
"KLBN4",2012-01-26,1.616,1.63,1.568,1.57,14999500,1.089831
"KLBN4",2012-01-27,1.576,1.608,1.572,1.586,6427500,1.100938
"KLBN4",2012-01-30,1.566,1.596,1.54,1.594,12154500,1.10649
"KLBN4",2012-01-31,1.592,1.62,1.578,1.62,21108500,1.124539
"KLBN4",2012-02-01,1.62,1.622,1.586,1.596,15235000,1.107879
"KLBN4",2012-02-02,1.6,1.602,1.522,1.552,24874500,1.077336
"KLBN4",2012-02-03,1.556,1.576,1.524,1.552,22848000,1.077336
"KLBN4",2012-02-06,1.548,1.562,1.494,1.532,14749500,1.063453
"KLBN4",2012-02-07,1.524,1.568,1.516,1.55,15497000,1.075948
"KLBN4",2012-02-08,1.544,1.59,1.538,1.588,17146500,1.102326
"KLBN4",2012-02-09,1.582,1.598,1.57,1.596,11596000,1.107879
"KLBN4",2012-02-10,1.578,1.612,1.57,1.608,9913000,1.116209
"KLBN4",2012-02-13,1.608,1.608,1.608,1.608,0,1.116209
"KLBN4",2012-02-14,1.634,1.654,1.616,1.644,19294500,1.141199
"KLBN4",2012-02-15,1.66,1.706,1.658,1.702,22573500,1.18146
"KLBN4",2012-02-16,1.696,1.718,1.65,1.67,18252500,1.159247
"KLBN4",2012-02-17,1.682,1.724,1.672,1.724,13762000,1.196731
"KLBN4",2012-02-23,1.704,1.706,1.676,1.678,10160500,1.164801
"KLBN4",2012-02-24,1.68,1.702,1.674,1.674,5068500,1.162024
"KLBN4",2012-02-27,1.674,1.7,1.664,1.686,7536500,1.170354
"KLBN4",2012-02-28,1.682,1.722,1.682,1.702,14018500,1.18146
